SHP,Gaurav,Snet,sankyy,X,Y
-70,-77,-62,-58,0,0
-71,-77,-56,-63,0,0
-67,-76,-56,-64,0,0
-70,-79,-56,-63,0,0
-65,-77,-58,-71,0,0
-65,-74,-60,-62,0,0
-66,-73,-58,-66,0,0
-67,-75,-59,-60,0,0
-67,-81,-59,-67,0,0
-67,-74,-57,-63,0,0
-68,-74,-60,-61,0,0
-67,-75,-59,-60,0,0
-66,-77,-59,-62,0,0
-68,-77,-59,-63,0,0
-68,-73,-60,-65,0,0
-70,-82,-63,-62,0,0
-68,-71,-78,-52,0,0
-70,-73,-63,-61,0,0
-69,-70,-63,-66,0,0
-69,-68,-68,-64,0,0
-74,-70,-65,-67,0,0
-70,-70,-63,-65,0,0
-71,-68,-67,-63,0,0
-65,-69,-64,-63,0,0
-61,-69,-59,0,10,0
-61,-64,-62,-65,10,0
-60,-66,-63,-64,10,0
-59,-68,-61,-64,10,0
-60,-68,-61,-66,10,0
-62,-66,-62,-70,10,0
-61,-69,-61,-71,10,0
-60,-70,-62,-76,10,0
-61,-72,-64,-72,10,0
-59,-68,-61,-77,10,0
-60,-69,-60,-74,10,0
-61,-72,-63,-70,10,0
-62,-70,-62,-70,10,0
-62,-68,-64,-73,10,0
-62,-78,-64,-68,10,0
-58,-70,-64,-65,10,0
-58,-67,-62,-65,10,0
-62,-70,-65,-61,10,0
-61,-77,-66,-76,10,10
-66,-75,-70,-63,10,10
-61,-68,-69,-64,10,10
-61,-68,-65,-65,10,10
-59,-72,-70,-72,10,10
-61,-67,-66,-82,10,10
-61,-69,-66,-74,10,10
-60,-70,-65,-72,10,10
-61,-67,-64,-76,10,10
-60,-67,-65,-76,10,10
-60,-69,-64,-76,10,10
-59,-71,-64,-74,10,10
-60,-72,-66,-72,10,10
-64,-74,-66,-73,10,10
-57,-75,-66,-70,10,10
-62,-72,-66,-70,10,10
-60,-68,-65,-62,10,10
-66,-68,-63,-72,10,10
-65,-70,-62,-66,10,10
-67,-69,-64,-65,10,10
-68,-66,-67,-72,10,10
-67,-64,-67,-69,10,10
-64,-70,-64,-68,10,10
-63,-88,-64,-66,10,10
-60,-67,-64,-64,10,10
-58,-72,-62,-70,10,10
-64,-71,-68,-76,10,10
-58,-71,-64,-69,10,10
-66,-70,-63,-65,10,10
-60,-72,-65,-71,10,10
-64,-74,-66,-65,10,10
-65,-70,-67,-65,10,10
-59,-72,-68,-70,10,10
-61,-71,-66,-72,10,10
-63,-70,-67,-59,10,10
-64,-76,-62,-59,10,10
-59,-74,-64,-66,10,10
-57,-72,-63,-65,10,10
-58,-76,-62,-66,10,10
-59,-70,-62,-64,10,10
-59,-71,-62,-66,10,10
-67,-74,-62,-69,10,10
-62,-68,-61,-72,10,10
-64,-74,-74,-58,10,10
-74,-70,-62,-63,10,10
-69,-67,-61,-62,10,10
-74,-72,-61,-63,10,10
-70,-71,-59,-65,10,10
-70,-73,-60,-68,10,10
-71,-75,-60,-65,10,10
-67,-73,-61,-71,10,10
-68,-73,-61,-68,10,10
-63,-68,-67,-68,0,10
-60,-70,-65,-58,0,10
-67,-67,-66,-63,0,10
-63,-62,-66,-66,0,10
-64,-66,-69,-67,0,10
-68,-65,-66,-67,0,10
-63,-67,-68,-66,0,10
-62,-73,-67,-67,0,10
-64,-68,-66,-69,0,10
-65,-71,-69,-66,0,10
-66,-67,-71,-65,0,10
-57,-71,-75,-65,0,10
-67,-75,-69,-59,0,10
-65,-71,-66,-61,0,10
-64,-76,-69,-60,0,10
-61,-80,-66,-60,0,10
-65,-73,-65,-53,0,10
-65,-76,-64,-56,0,10
-69,-70,-71,-58,0,10
-66,-74,-68,-58,0,10
-65,-75,-83,-66,0,10
