a,b,c,d,e,f,g,h,i,j,X,Y
0,0,0,0,0,-84,-78,-71,-73,0,2,2
0,0,0,0,0,-83,-82,-52,-73,0,4,2
0,0,0,0,0,0,-71,-71,-82,0,6,2
0,0,0,0,0,-77,-76,-67,-69,0,8,2
0,0,0,0,0,-78,-71,-70,-73,0,10,2
0,0,0,0,0,-75,-72,-64,-78,0,12,2
0,0,0,0,0,-69,-65,-59,-73,0,12,4
0,0,0,0,0,-78,-73,-58,-70,0,10,4
0,0,0,0,0,-66,-73,-68,-69,0,8,4
0,0,0,0,0,-72,-69,-53,-71,0,6,4
0,0,0,0,0,-82,-70,-56,-65,0,4,4
0,0,0,0,0,-78,-77,-66,-71,0,2,4
0,0,0,0,0,0,-73,-64,-68,0,2,6
0,0,0,0,0,-76,-82,-64,-65,0,4,6
0,0,0,0,0,-75,-72,-52,-61,0,6,6
0,0,0,0,0,-70,-71,-59,-65,0,8,6
0,0,0,0,0,-88,-71,-65,-71,0,10,6
0,0,0,0,0,-79,-67,-71,-72,0,12,6
0,0,0,0,0,-69,-60,-75,0,0,14,6
